job_id,job_date,customer,press,shift,stock_type,ink_config,cards_per_sheet,qty_ordered,passes,sheets_run,cards_delivered,waste_pct,color_delta_e,register_error,dot_gain_pct,cut_deviation_mm,foil_adhesion,quality_pass,jam_count,total_press_time,paper_cost,press_cost,ink_cost,plate_cost,finishing_cost,total_cost,revenue,gross_profit,gross_margin_pct,delivery_quoted,delivery_actual,delivery_status,jam_time_hrs,qc_downtime_hrs,mr_hrs,labor_rate,bill_rate
JOB-00000,2022-01-01,CUST-A,4180,Red Night,White,4/4 + Foil Stamp,121,11670,2,12578,1521938,7.22,0.11,0.02,29.1,0.306,,1,0,3.76,691.79,541.44,19.39,520,226.4,1999.02,3329.2,1330.18,40.0,7,6,ON-TIME,0.0,0.0,0.7699757716362541,144.0,254.0
JOB-00001,2022-01-01,CUST-A,4520,Black Night,White,4/4 CMYK,121,10373,2,10853,1313213,4.42,0.1,0.056,21.2,0.395,,1,0,3.39,596.92,488.16,9.99,260,0.0,1355.07,2540.46,1185.39,46.7,9,6,ON-TIME,0.0,0.0,0.9221308861529003,144.0,254.0
JOB-00002,2022-01-01,CUST-B,4140,Black Day,White,4/4 CMYK,121,7362,2,7765,939565,5.19,0.23,0.11,17.2,0.659,,0,0,3.09,427.08,432.6,8.06,260,0.0,1127.74,2229.28,1101.54,49.4,4,5,LATE,0.0,0.25,1.002032437624627,140.0,250.0
JOB-00003,2022-01-02,CUST-A,4210,Black Day,Foil,4/4 + Spot Gloss,121,10016,1,11002,1331242,8.96,1.4,0.19,21.5,0.094,93.16802475303408,1,0,2.76,3520.64,414.0,20.66,380,99.02,4434.32,6657.42,2223.1,33.4,8,6,ON-TIME,0.0,0.0,0.8618968473708688,150.0,285.0
JOB-00004,2022-01-02,CUST-B,4210,Red Day,Foil,4/4 + Spot Gloss,121,7142,1,7880,953480,9.37,0.1,0.031,24.6,0.03,98.68986960287441,1,0,2.3,2521.6,345.0,12.32,380,70.92,3329.84,5554.5,2224.66,40.1,7,5,ON-TIME,0.0,0.0,0.9161529518043517,150.0,285.0
JOB-00005,2022-01-02,CUST-A,4210,Red Day,Foil,4/4 + Foil Stamp,100,6878,1,7643,764300,10.01,0.32,0.01,21.9,0.085,98.04428809587404,1,0,2.12,2445.76,318.0,17.41,520,137.57,3438.74,5078.88,1640.14,32.3,11,5,ON-TIME,0.0,0.0,0.7272804004110799,150.0,285.0
JOB-00006,2022-01-02,CUST-B,4210,Red Day,White,4/4 + Spot UV,121,8655,1,9156,1107876,5.47,0.24,0.015,22.3,0.265,,1,0,2.04,503.58,306.0,18.62,380,82.4,1290.6,2225.66,935.06,42.0,8,4,ON-TIME,0.0,0.0,0.9078870733451903,150.0,285.0
JOB-00007,2022-01-02,CUST-B,4140,Black Night,Foil,4/4 CMYK,121,9522,2,10586,1280906,10.05,1.19,0.335,26.6,0.312,82.03666840711284,1,0,4.65,3387.52,669.6,12.77,260,0.0,4329.89,7213.59,2883.7,40.0,9,6,ON-TIME,0.0,0.0,1.0254883347924564,144.0,254.0
JOB-00008,2022-01-02,CUST-A,4180,Black Day,White,4/4 + Foil Stamp,100,10140,2,10856,1085600,6.6,0.1,0.04,26.1,0.064,,1,0,3.41,597.08,477.4,21.91,520,195.41,1811.8,3024.14,1212.34,40.1,9,6,ON-TIME,0.0,0.0,0.8672304984210277,140.0,250.0
JOB-00009,2022-01-03,CUST-A,4210,Black Day,White,4/4 CMYK,100,13665,1,14180,1418000,3.63,0.16,0.031,22.3,0.007,,1,0,2.53,779.9,379.5,15.94,260,0.0,1435.34,2273.05,837.71,36.9,7,6,ON-TIME,0.0,0.0,0.6748889837115059,150.0,285.0
JOB-00010,2022-01-03,CUST-A,4210,Red Day,Foil,4/4 CMYK,100,8006,1,8761,876100,8.62,0.1,0.001,11.3,0.098,83.01383907207997,1,0,2.46,2803.52,369.0,10.02,260,0.0,3442.54,5217.03,1774.49,34.0,10,6,ON-TIME,0.0,0.0,0.8542455432628646,150.0,285.0
JOB-00011,2022-01-03,CUST-B,4210,Black Night,White,4/4 CMYK,100,10787,1,11266,1126600,4.25,0.13,0.003,27.4,0.102,,1,0,2.21,619.63,340.34,15.52,260,0.0,1235.49,2219.9,984.41,44.3,8,5,ON-TIME,0.0,0.0,0.8231241163654881,154.0,289.0
JOB-00012,2022-01-03,CUST-A,4080,Black Night,Foil,4/4 CMYK,100,10472,2,11886,1188600,11.9,0.32,0.152,35.2,0.019,81.02242407021981,0,0,6.36,3803.52,915.84,15.27,260,0.0,4994.63,7179.41,2184.78,30.4,9,6,ON-TIME,0.0,0.25,1.2656849737162739,144.0,254.0
JOB-00013,2022-01-03,CUST-A,4180,Red Day,White,4/4 CMYK,121,7565,2,7933,959893,4.64,0.18,0.058,22.0,0.247,,1,0,3.44,436.32,481.6,9.59,260,0.0,1187.51,2186.1,998.59,45.7,6,5,ON-TIME,0.0,0.0,1.5037204112449063,140.0,250.0
JOB-00014,2022-01-03,CUST-A,4360,Red Day,Foil,4/4 CMYK,121,10294,2,11266,1363186,8.63,0.1,0.082,14.5,0.048,80.4154909731253,1,0,5.14,3605.12,719.6,15.91,260,0.0,4600.63,7013.41,2412.78,34.4,9,5,ON-TIME,0.0,0.0,1.1887297202278988,140.0,250.0
JOB-00015,2022-01-04,CUST-A,4520,Red Day,White,4/4 + Spot UV,121,14010,2,14771,1787291,5.15,0.23,0.007,22.5,0.149,,1,0,4.21,812.4,589.4,29.57,380,132.94,1944.31,3529.12,1584.81,44.9,9,7,ON-TIME,0.0,0.0,0.97991491106027,140.0,250.0
JOB-00016,2022-01-04,CUST-A,4140,Red Night,White,4/4 + Foil Stamp,121,10746,2,11564,1399244,7.07,0.1,0.031,27.3,0.018,,1,0,3.91,636.02,563.04,20.41,520,208.15,1947.62,3297.36,1349.74,40.9,5,6,LATE,0.0,0.0,1.2673989167295379,144.0,254.0
JOB-00017,2022-01-04,CUST-A,4520,Black Day,White,4/4 + Spot UV,121,10906,2,11526,1394646,5.38,0.1,0.1,20.0,0.284,,1,0,3.6,633.93,504.0,16.72,380,103.73,1638.38,2933.12,1294.74,44.1,7,6,ON-TIME,0.0,0.0,1.0449769410180088,140.0,250.0
JOB-00018,2022-01-04,CUST-A,4210,Red Night,White,4/4 + Spot Gloss,121,7178,1,7661,926981,6.3,0.1,0.013,24.5,0.213,,1,0,1.72,421.36,264.88,13.47,380,68.95,1148.66,1747.24,598.58,34.3,4,5,LATE,0.0,0.0,0.7842042829689677,154.0,289.0
JOB-00019,2022-01-05,CUST-B,4140,Red Night,White,4/4 CMYK,121,17875,2,18690,2261490,4.36,0.29,0.154,30.5,0.085,,0,0,5.83,1027.95,839.52,26.13,260,0.0,2153.6,4432.86,2279.26,51.4,4,7,LATE,0.0,0.25,0.9732882808766007,144.0,254.0
JOB-00020,2022-01-05,CUST-A,4210,Black Day,White,4/4 CMYK,121,7406,1,7741,936661,4.33,0.39,0.007,29.0,0.137,,1,0,1.78,425.76,267.0,7.01,260,0.0,959.77,1544.5,584.73,37.9,7,6,ON-TIME,0.0,0.0,0.8310374211021202,150.0,285.0
JOB-00021,2022-01-05,CUST-A,4520,Red Day,White,4/4 CMYK,121,5000,2,5273,638033,5.18,0.17,0.011,22.1,0.03,,1,0,2.39,290.02,334.6,5.19,260,0.0,889.81,1616.5,726.69,45.0,11,7,ON-TIME,0.0,0.0,1.1949549252839673,140.0,250.0
JOB-00022,2022-01-06,SPOT-JOBS,4210,Red Night,Foil,4/4 CMYK,100,13440,1,14834,1483400,9.4,0.1,0.069,25.1,0.671,93.86340907695418,0,0,4.03,4746.88,620.62,19.77,260,0.0,5647.27,10293.91,4646.64,45.1,11,5,ON-TIME,0.0,0.25,1.269069446143639,154.0,289.0
JOB-00023,2022-01-06,CUST-B,4520,Red Night,White,4/4 + Spot Gloss,121,9540,2,10163,1229723,6.13,0.1,0.201,21.4,0.263,,1,0,3.54,558.96,509.76,17.63,380,91.47,1557.82,3072.52,1514.7,49.3,7,5,ON-TIME,0.0,0.0,1.2063074337400994,144.0,254.0
JOB-00024,2022-01-06,SPOT-JOBS,4210,Red Night,White,4/4 + Spot Gloss,100,8787,1,9351,935100,6.03,0.1,0.026,21.8,0.247,,1,0,1.98,514.3,304.92,14.72,380,84.16,1298.1,2479.5,1181.4,47.6,6,5,ON-TIME,0.0,0.0,0.8747007557606816,154.0,289.0
